row.ID,sale.price,square.feet,bedrooms,bathrooms,air.conditionning,garage.size,pool,year.built,construction.quality,architectural.style,lot.size,highway
1,360000,3032,4,4,AC,2,no.pool,1972,2,1,22221,not.adjacent.to.highway
2,340000,2058,4,2,AC,2,no.pool,1976,2,1,22912,not.adjacent.to.highway
3,250000,1780,4,3,AC,2,no.pool,1980,2,1,21345,not.adjacent.to.highway
4,205500,1638,4,2,AC,2,no.pool,1963,2,1,17342,not.adjacent.to.highway
5,275500,2196,4,3,AC,2,no.pool,1968,2,7,21786,not.adjacent.to.highway
6,248000,1966,4,3,AC,5,pool,1972,2,1,18902,not.adjacent.to.highway
7,229900,2216,3,2,AC,2,no.pool,1972,2,7,18639,not.adjacent.to.highway
8,150000,1597,2,1,AC,1,no.pool,1955,2,1,22112,not.adjacent.to.highway
9,195000,1622,3,2,AC,2,no.pool,1975,3,1,14321,not.adjacent.to.highway
10,160000,1976,3,3,no.AC,1,no.pool,1918,3,1,32358,not.adjacent.to.highway
11,190000,2812,7,5,no.AC,2,pool,1966,3,7,56639,not.adjacent.to.highway
12,559000,2791,3,4,AC,3,no.pool,1992,1,1,30595,not.adjacent.to.highway
13,535000,3381,5,4,AC,3,no.pool,1988,1,7,23172,not.adjacent.to.highway
14,525000,3459,5,4,AC,2,no.pool,1978,1,5,35351,not.adjacent.to.highway
15,299900,2090,3,3,AC,2,no.pool,1987,2,1,24025,not.adjacent.to.highway
16,527000,3232,5,5,AC,2,no.pool,1984,2,6,21445,not.adjacent.to.highway
17,169900,1502,2,2,AC,2,no.pool,1956,2,1,28958,not.adjacent.to.highway
18,335250,2747,3,4,AC,2,no.pool,1993,2,7,22241,not.adjacent.to.highway
19,323900,2890,4,3,AC,2,no.pool,1954,2,7,41992,not.adjacent.to.highway
20,200000,1825,3,3,AC,2,no.pool,1957,2,1,30266,not.adjacent.to.highway
21,211000,1578,4,3,AC,2,no.pool,1986,2,2,18829,not.adjacent.to.highway
22,212000,1763,3,3,AC,2,no.pool,1959,2,1,24726,not.adjacent.to.highway
23,245000,2517,4,3,AC,2,no.pool,1965,2,1,23261,not.adjacent.to.highway
24,140400,1872,3,2,AC,2,no.pool,1985,2,3,24017,not.adjacent.to.highway
25,295000,3266,3,3,AC,2,no.pool,1908,2,6,24881,not.adjacent.to.highway
26,170900,2020,1,2,AC,1,no.pool,1956,2,1,21385,not.adjacent.to.highway
27,229000,2164,4,2,AC,2,no.pool,1965,2,1,28291,not.adjacent.to.highway
28,218500,2080,3,2,AC,2,pool,1959,2,1,14752,not.adjacent.to.highway
29,160000,2208,2,2,AC,2,no.pool,1985,2,7,8058,not.adjacent.to.highway
30,259000,3048,6,4,AC,3,no.pool,1960,2,7,29307,not.adjacent.to.highway
31,164500,1460,3,2,AC,2,no.pool,1978,2,1,9999,not.adjacent.to.highway
32,280000,2540,3,2,no.AC,2,no.pool,1940,2,5,42428,not.adjacent.to.highway
