,company,employees (xi),sales (yi),employees.log (xi.log),sales.log (yi.log),yhat.original,yi-ybar,xi-xbar,(yi - y)(xi - x),SSy     = (yi - y)^2,SSx =    (xi - x)^2,Predic.Bo,yi_hat,(yi-yi_hat)^2,,SSE,yi-ybar (log),xi-xbar (log),(yi - y)(xi - x) (log),SSy (log)              = (yi - y)^2,SSx (log)          =    (xi - x)^2,Predic.Bo (log),yi_hat (log),yhat.original? YES :),(yi-yi_hat)^2 (log),SSE (log),SSE (orig.)
1,Alaska Air Group,3663,14485,8.206037763,9.58086891,7854.857773,-1834.15,-3152.1,5781424.215,3364106.223,9935734.41,5821.795921,11463.94468,9126775.261,,19722180298,1.04660916,0.453674476,0.474819862,1.095390733,0.20582053,1.107366777,8.968887444,7854.857773,0.374521315,18.30687932,89243515.1
2,Amazon.com,19166,13900,9.860893155,9.539644119,38340.66781,-2419.15,12350.9,-29878679.74,5852286.723,152544730.8,,35343.34194,459816913.6,,,1.005384369,2.108529868,2.11988297,1.010797729,4.445898203,,10.55426643,38340.66781,1.029458443,,
3,Avista,1677,1995,7.424761762,7.598399329,3716.033222,-14324.15,-5138.1,73598915.12,205181273.2,26400071.61,Predic.B1,8404.89269,41086724.3,,SSy,-0.935860421,-0.327601525,0.306589302,0.875834728,0.107322759,Predic.B1 (log),8.22041204,3716.033222,0.386899813,SSy (log),SSy (orig.)
4,Cascade Corp,534,2100,6.280395839,7.649692624,1241.518433,-14219.15,-6281.1,89311903.07,202184226.7,39452217.21,1.540308151,6644.320474,20650848.57,,39721185007,-0.884567127,-1.471967448,1.302054016,0.782459002,2.166688169,0.958016633,7.124090452,1241.518433,0.276257643,79.97223061,5.39E+34
5,Coinstar,912,1900,6.81563999,7.549609165,2073.230404,-14419.15,-5903.1,85117684.37,207911886.7,34846589.61,,7226.556955,28372208.99,,,-0.984650585,-0.936723297,0.922345143,0.969536775,0.877450535,,7.636863251,2073.230404,0.007613276,,
6,Coldwater Creek,1024,11577,6.931471806,9.35677565,2316.54483,-4742.15,-5791.1,27462264.87,22487986.62,33536839.21,,7399.071467,17455086.82,,SSx,0.8225159,-0.820891482,-0.675196296,0.676532405,0.673862825,Predic.Bo (orig.),7.747832057,2316.54483,2.588699485,SSx (log),SSx (orig.)
7,Columbia Sportswear,1318,2810,7.183870715,7.940939762,2950.218194,-13509.15,-5497.1,74261148.47,182497133.7,30218108.41,,7851.922064,25420978.1,,8429331924,-0.593319988,-0.568492572,0.337298006,0.352028608,0.323183805,3.026378764,7.989634411,2950.218194,0.002371169,67.18852567,1.51E+29
8,Costco Wholesale,72483,127000,11.19110733,11.75194237,137123.0175,110680.85,65667.9,7268178990,12250250557,4312273090,,117467.9516,90859946.3,,,3.217682615,3.438744043,11.06478693,10.35348141,11.8249606,,11.82863374,137123.0175,0.005881567,,
9,Esterline Technologies,1483,8150,7.301822342,9.005773206,3303.157246,-8169.15,-5332.1,43558724.72,66735011.72,28431290.41,,8106.072909,1929.589351,,SSreg = MSreg,0.471513456,-0.450540945,-0.212436118,0.222324939,0.202987143,Predic.B1 (orig.),8.102634031,3303.157246,0.815660369,SSreg = MSreg (log),SSreg = MSreg (orig.)
10,Expedia,2937,6600,7.985143931,8.794824928,6356.717961,-9719.15,-3878.1,37691835.62,94461876.72,15039659.61,,10345.68096,14030125.85,,19999004709,0.260565177,0.232780644,0.06065453,0.067894212,0.054186828,2.606521654,8.757267479,6356.717961,0.001410562,61.6653513,6.04E+26
